AÑO;ÁREA GEOGRÁFICA;Hombres_0;Hombres_1;Hombres_2;Hombres_3;Hombres_4;Hombres_5;Hombres_6;Hombres_7;Hombres_8;Hombres_9;Hombres_10;Hombres_11;Hombres_12;Hombres_13;Hombres_14;Hombres_15;Hombres_16;Hombres_17;Hombres_18;Hombres_19;Hombres_20;Hombres_21;Hombres_22;Hombres_23;Hombres_24;Hombres_25;Hombres_26;Hombres_27;Hombres_28;Hombres_29;Hombres_30;Hombres_31;Hombres_32;Hombres_33;Hombres_34;Hombres_35;Hombres_36;Hombres_37;Hombres_38;Hombres_39;Hombres_40;Hombres_41;Hombres_42;Hombres_43;Hombres_44;Hombres_45;Hombres_46;Hombres_47;Hombres_48;Hombres_49;Hombres_50;Hombres_51;Hombres_52;Hombres_53;Hombres_54;Hombres_55;Hombres_56;Hombres_57;Hombres_58;Hombres_59;Hombres_60;Hombres_61;Hombres_62;Hombres_63;Hombres_64;Hombres_65;Hombres_66;Hombres_67;Hombres_68;Hombres_69;Hombres_70;Hombres_71;Hombres_72;Hombres_73;Hombres_74;Hombres_75;Hombres_76;Hombres_77;Hombres_78;Hombres_79;Hombres_80;Hombres_81;Hombres_82;Hombres_83;Hombres_84;Hombres_85;Hombres_86;Hombres_87;Hombres_88;Hombres_89;Hombres_90;Hombres_91;Hombres_92;Hombres_93;Hombres_94;Hombres_95;Hombres_96;Hombres_97;Hombres_98;Hombres_99;Hombres_100;Mujeres_0;Mujeres_1;Mujeres_2;Mujeres_3;Mujeres_4;Mujeres_5;Mujeres_6;Mujeres_7;Mujeres_8;Mujeres_9;Mujeres_10;Mujeres_11;Mujeres_12;Mujeres_13;Mujeres_14;Mujeres_15;Mujeres_16;Mujeres_17;Mujeres_18;Mujeres_19;Mujeres_20;Mujeres_21;Mujeres_22;Mujeres_23;Mujeres_24;Mujeres_25;Mujeres_26;Mujeres_27;Mujeres_28;Mujeres_29;Mujeres_30;Mujeres_31;Mujeres_32;Mujeres_33;Mujeres_34;Mujeres_35;Mujeres_36;Mujeres_37;Mujeres_38;Mujeres_39;Mujeres_40;Mujeres_41;Mujeres_42;Mujeres_43;Mujeres_44;Mujeres_45;Mujeres_46;Mujeres_47;Mujeres_48;Mujeres_49;Mujeres_50;Mujeres_51;Mujeres_52;Mujeres_53;Mujeres_54;Mujeres_55;Mujeres_56;Mujeres_57;Mujeres_58;Mujeres_59;Mujeres_60;Mujeres_61;Mujeres_62;Mujeres_63;Mujeres_64;Mujeres_65;Mujeres_66;Mujeres_67;Mujeres_68;Mujeres_69;Mujeres_70;Mujeres_71;Mujeres_72;Mujeres_73;Mujeres_74;Mujeres_75;Mujeres_76;Mujeres_77;Mujeres_78;Mujeres_79;Mujeres_80;Mujeres_81;Mujeres_82;Mujeres_83;Mujeres_84;Mujeres_85;Mujeres_86;Mujeres_87;Mujeres_88;Mujeres_89;Mujeres_90;Mujeres_91;Mujeres_92;Mujeres_93;Mujeres_94;Mujeres_95;Mujeres_96;Mujeres_97;Mujeres_98;Mujeres_99;Mujeres_100;Total_0;Total_1;Total_2;Total_3;Total_4;Total_5;Total_6;Total_7;Total_8;Total_9;Total_10;Total_11;Total_12;Total_13;Total_14;Total_15;Total_16;Total_17;Total_18;Total_19;Total_20;Total_21;Total_22;Total_23;Total_24;Total_25;Total_26;Total_27;Total_28;Total_29;Total_30;Total_31;Total_32;Total_33;Total_34;Total_35;Total_36;Total_37;Total_38;Total_39;Total_40;Total_41;Total_42;Total_43;Total_44;Total_45;Total_46;Total_47;Total_48;Total_49;Total_50;Total_51;Total_52;Total_53;Total_54;Total_55;Total_56;Total_57;Total_58;Total_59;Total_60;Total_61;Total_62;Total_63;Total_64;Total_65;Total_66;Total_67;Total_68;Total_69;Total_70;Total_71;Total_72;Total_73;Total_74;Total_75;Total_76;Total_77;Total_78;Total_79;Total_80;Total_81;Total_82;Total_83;Total_84;Total_85;Total_86;Total_87;Total_88;Total_89;Total_90;Total_91;Total_92;Total_93;Total_94;Total_95;Total_96;Total_97;Total_98;Total_99;Total_100;Total Hombres;Total Mujeres;Total
1963;Cabecera;138.592;132.099;128.195;124.550;120.944;117.282;113.556;109.945;106.424;103.155;100.155;97.412;94.790;93.575;91.574;89.722;88.009;86.376;84.915;83.447;81.817;80.148;78.320;76.527;74.582;72.804;71.169;69.672;67.584;65.695;63.548;61.085;58.402;56.007;53.748;51.435;49.108;46.647;44.130;41.574;39.253;37.272;35.572;34.100;32.782;31.652;30.532;29.429;28.497;27.746;27.009;25.929;24.787;23.669;22.628;21.780;21.548;20.588;19.499;18.566;17.726;16.814;15.897;14.970;14.067;13.163;12.244;11.342;10.474;9.635;8.799;7.979;7.166;6.366;5.614;4.912;4.276;3.688;3.332;2.692;2.302;1.944;1.625;1.341;1.092;873;677;514;379;279;204;152;113;88;71;60;52;46;43;29;66;154.590;148.238;144.222;140.389;136.440;132.439;128.341;124.249;120.202;116.422;112.510;109.311;106.362;102.988;100.534;98.394;96.385;94.656;93.031;91.308;89.249;86.960;84.572;82.001;79.389;76.978;74.663;72.545;70.870;69.423;67.663;65.352;62.792;60.500;58.366;56.102;53.733;51.209;48.578;45.908;43.487;41.414;39.623;37.917;36.275;34.970;33.655;32.366;31.301;30.513;29.558;28.052;26.499;25.012;23.778;22.850;22.925;22.155;21.454;20.614;19.951;19.074;18.135;17.180;16.209;15.280;14.362;13.473;12.605;11.759;10.923;10.115;9.326;8.532;7.750;6.975;6.192;5.435;5.058;4.065;3.557;3.089;2.651;2.259;1.902;1.573;1.266;993;767;587;450;348;277;225;186;162;140;126;98;75;157;293.182;280.337;272.417;264.939;257.384;249.721;241.897;234.194;226.626;219.577;212.665;206.723;201.152;196.563;192.108;188.116;184.394;181.032;177.946;174.755;171.066;167.108;162.892;158.528;153.971;149.782;145.832;142.217;138.454;135.118;131.211;126.437;121.194;116.507;112.114;107.537;102.841;97.856;92.708;87.482;82.740;78.686;75.195;72.017;69.057;66.622;64.187;61.795;59.798;58.259;56.567;53.981;51.286;48.681;46.406;44.630;44.473;42.743;40.953;39.180;37.677;35.888;34.032;32.150;30.276;28.443;26.606;24.815;23.079;21.394;19.722;18.094;16.492;14.898;13.364;11.887;10.468;9.123;8.390;6.757;5.859;5.033;4.276;3.600;2.994;2.446;1.943;1.507;1.146;866;654;500;390;313;257;222;192;172;141;104;223;4.124.663;4.565.569;8.690.232
1963;Centros Poblados y Rural Disperso;225.941;212.894;204.797;197.327;190.196;183.383;176.876;170.488;164.437;158.552;152.775;147.116;141.409;137.862;132.816;127.712;122.537;117.260;111.928;106.616;101.486;96.574;92.051;88.296;85.034;82.121;79.703;77.792;75.704;74.060;72.429;70.482;68.371;66.257;64.153;61.999;59.692;57.405;55.328;53.358;51.649;50.411;49.308;48.045;46.766;45.731;44.670;43.514;42.379;41.434;40.073;38.235;36.492;34.967;33.752;32.750;32.705;31.567;30.260;29.186;28.279;27.242;26.173;25.080;23.949;22.764;21.566;20.305;18.987;17.644;16.280;14.878;13.472;12.111;10.792;9.549;8.381;7.295;6.655;5.423;4.685;4.003;3.368;2.808;2.314;1.864;1.463;1.119;836;618;453;336;255;198;160;134;116;105;74;59;92;201.649;190.710;183.551;177.132;171.035;165.073;159.212;153.397;147.863;142.428;137.367;131.854;126.410;120.026;114.201;108.267;102.120;96.070;90.026;84.131;78.743;73.690;69.380;65.793;62.770;60.158;57.916;56.063;54.823;53.867;52.873;51.628;50.082;48.454;46.757;44.993;43.099;41.257;39.542;37.872;36.385;35.171;34.053;32.829;31.536;30.528;29.480;28.399;27.369;26.503;25.327;23.698;22.167;20.878;19.911;19.182;19.329;18.760;18.215;17.555;17.068;16.399;15.716;15.016;14.352;13.686;13.049;12.395;11.686;10.959;10.251;9.536;8.820;8.139;7.447;6.747;6.050;5.338;5.018;4.061;3.587;3.134;2.715;2.330;1.977;1.645;1.334;1.056;820;629;485;376;297;241;202;170;149;130;100;72;115;427.590;403.604;388.348;374.459;361.231;348.456;336.088;323.885;312.300;300.980;290.142;278.970;267.819;257.888;247.017;235.979;224.657;213.330;201.954;190.747;180.229;170.264;161.431;154.089;147.804;142.279;137.619;133.855;130.527;127.927;125.302;122.110;118.453;114.711;110.910;106.992;102.791;98.662;94.870;91.230;88.034;85.582;83.361;80.874;78.302;76.259;74.150;71.913;69.748;67.937;65.400;61.933;58.659;55.845;53.663;51.932;52.034;50.327;48.475;46.741;45.347;43.641;41.889;40.096;38.301;36.450;34.615;32.700;30.673;28.603;26.531;24.414;22.292;20.250;18.239;16.296;14.431;12.633;11.673;9.484;8.272;7.137;6.083;5.138;4.291;3.509;2.797;2.175;1.656;1.247;938;712;552;439;362;304;265;235;174;131;207;5.830.996;4.642.854;10.473.850
1963;Total;364.533;344.993;332.992;321.877;311.140;300.665;290.432;280.433;270.861;261.707;252.930;244.528;236.199;231.437;224.390;217.434;210.546;203.636;196.843;190.063;183.303;176.722;170.371;164.823;159.616;154.925;150.872;147.464;143.288;139.755;135.977;131.567;126.773;122.264;117.901;113.434;108.800;104.052;99.458;94.932;90.902;87.683;84.880;82.145;79.548;77.383;75.202;72.943;70.876;69.180;67.082;64.164;61.279;58.636;56.380;54.530;54.253;52.155;49.759;47.752;46.005;44.056;42.070;40.050;38.016;35.927;33.810;31.647;29.461;27.279;25.079;22.857;20.638;18.477;16.406;14.461;12.657;10.983;9.987;8.115;6.987;5.947;4.993;4.149;3.406;2.737;2.140;1.633;1.215;897;657;488;368;286;231;194;168;151;117;88;158;356.239;338.948;327.773;317.521;307.475;297.512;287.553;277.646;268.065;258.850;249.877;241.165;232.772;223.014;214.735;206.661;198.505;190.726;183.057;175.439;167.992;160.650;153.952;147.794;142.159;137.136;132.579;128.608;125.693;123.290;120.536;116.980;112.874;108.954;105.123;101.095;96.832;92.466;88.120;83.780;79.872;76.585;73.676;70.746;67.811;65.498;63.135;60.765;58.670;57.016;54.885;51.750;48.666;45.890;43.689;42.032;42.254;40.915;39.669;38.169;37.019;35.473;33.851;32.196;30.561;28.966;27.411;25.868;24.291;22.718;21.174;19.651;18.146;16.671;15.197;13.722;12.242;10.773;10.076;8.126;7.144;6.223;5.366;4.589;3.879;3.218;2.600;2.049;1.587;1.216;935;724;574;466;388;332;289;256;198;147;272;720.772;683.941;660.765;639.398;618.615;598.177;577.985;558.079;538.926;520.557;502.807;485.693;468.971;454.451;439.125;424.095;409.051;394.362;379.900;365.502;351.295;337.372;324.323;312.617;301.775;292.061;283.451;276.072;268.981;263.045;256.513;248.547;239.647;231.218;223.024;214.529;205.632;196.518;187.578;178.712;170.774;164.268;158.556;152.891;147.359;142.881;138.337;133.708;129.546;126.196;121.967;115.914;109.945;104.526;100.069;96.562;96.507;93.070;89.428;85.921;83.024;79.529;75.921;72.246;68.577;64.893;61.221;57.515;53.752;49.997;46.253;42.508;38.784;35.148;31.603;28.183;24.899;21.756;20.063;16.241;14.131;12.170;10.359;8.738;7.285;5.955;4.740;3.682;2.802;2.113;1.592;1.212;942;752;619;526;457;407;315;235;430;9.955.659;9.208.423;19.164.082
1964;Cabecera;144.658;138.697;134.806;131.370;127.810;124.114;120.305;116.589;112.867;109.388;106.187;103.237;100.523;97.794;96.679;94.704;92.877;91.172;89.576;88.011;86.284;84.449;82.428;80.180;78.004;75.918;73.923;72.068;70.308;68.099;66.056;63.869;61.340;58.792;56.446;54.160;51.887;49.447;46.822;44.190;41.607;39.234;37.324;35.795;34.389;33.047;31.900;30.794;29.753;28.822;28.219;27.443;26.254;25.003;23.772;22.725;21.835;21.572;20.580;19.460;18.497;17.645;16.712;15.765;14.835;13.921;12.975;12.050;11.151;10.280;9.422;8.582;7.745;6.904;6.102;5.344;4.651;4.015;3.429;3.091;2.451;2.074;1.738;1.432;1.166;940;740;568;424;311;225;164;119;88;68;55;46;39;42;29;71;160.267;154.425;150.618;147.018;143.207;139.261;135.180;131.049;126.819;122.825;118.734;115.361;112.213;109.424;106.242;103.972;101.985;100.053;98.358;96.595;94.420;92.041;89.255;86.335;83.382;80.581;77.959;75.466;73.168;71.423;69.857;67.983;65.710;63.291;61.086;58.909;56.648;54.155;51.477;48.760;46.058;43.611;41.583;39.861;38.196;36.532;35.218;33.912;32.681;31.637;30.922;29.942;28.341;26.663;25.092;23.844;22.880;22.942;22.197;21.499;20.638;19.976;19.063;18.105;17.102;16.132;15.172;14.234;13.342;12.465;11.585;10.738;9.911;9.073;8.262;7.465;6.665;5.886;5.114;4.760;3.751;3.261;2.801;2.382;2.008;1.674;1.368;1.086;843;644;486;369;283;222;177;148;124;108;96;76;174;304.925;293.122;285.424;278.388;271.017;263.375;255.485;247.638;239.686;232.213;224.921;218.598;212.736;207.218;202.921;198.676;194.862;191.225;187.934;184.606;180.704;176.490;171.683;166.515;161.386;156.499;151.882;147.534;143.476;139.522;135.913;131.852;127.050;122.083;117.532;113.069;108.535;103.602;98.299;92.950;87.665;82.845;78.907;75.656;72.585;69.579;67.118;64.706;62.434;60.459;59.141;57.385;54.595;51.666;48.864;46.569;44.715;44.514;42.777;40.959;39.135;37.621;35.775;33.870;31.937;30.053;28.147;26.284;24.493;22.745;21.007;19.320;17.656;15.977;14.364;12.809;11.316;9.901;8.543;7.851;6.202;5.335;4.539;3.814;3.174;2.614;2.108;1.654;1.267;955;711;533;402;310;245;203;170;147;138;105;245;4.341.468;4.796.892;9.138.360
1964;Centros Poblados y Rural Disperso;224.872;213.141;205.352;198.463;191.655;185.050;178.684;172.392;166.290;160.321;154.451;148.669;142.995;137.384;133.706;128.539;123.306;118.020;112.586;107.224;102.054;97.028;92.379;88.213;84.804;81.654;78.941;76.729;75.096;73.204;71.788;70.270;68.476;66.319;64.243;62.252;60.139;58.024;55.975;54.081;52.204;50.599;49.333;48.090;46.777;45.528;44.503;43.418;42.190;41.042;39.924;38.588;36.858;35.221;33.810;32.584;31.602;31.539;30.454;29.168;28.136;27.259;26.237;25.184;24.085;22.954;21.794;20.572;19.275;17.950;16.622;15.260;13.884;12.523;11.187;9.905;8.691;7.571;6.533;5.936;4.757;4.072;3.436;2.861;2.357;1.914;1.524;1.179;892;655;479;345;255;190;146;116;97;83;67;56;95;200.839;190.864;184.160;178.207;172.464;166.755;161.107;155.436;149.873;144.356;139.271;133.685;128.124;122.515;115.943;109.910;103.807;97.557;91.441;85.505;80.032;74.932;70.345;66.548;63.337;60.499;58.096;56.029;54.376;53.242;52.444;51.596;50.351;48.698;47.012;45.388;43.652;41.916;40.254;38.643;37.023;35.581;34.333;33.155;31.901;30.638;29.638;28.588;27.454;26.400;25.454;24.302;22.777;21.381;20.186;19.230;18.533;18.663;18.106;17.590;16.962;16.500;15.870;15.203;14.548;13.881;13.243;12.581;11.884;11.161;10.445;9.724;9.004;8.314;7.628;6.937;6.256;5.555;4.873;4.567;3.634;3.178;2.756;2.360;2.006;1.682;1.384;1.110;866;663;503;383;291;228;184;149;127;108;93;70;122;425.711;404.005;389.512;376.670;364.119;351.805;339.791;327.828;316.163;304.677;293.722;282.354;271.119;259.899;249.649;238.449;227.113;215.577;204.027;192.729;182.086;171.960;162.724;154.761;148.141;142.153;137.037;132.758;129.472;126.446;124.232;121.866;118.827;115.017;111.255;107.640;103.791;99.940;96.229;92.724;89.227;86.180;83.666;81.245;78.678;76.166;74.141;72.006;69.644;67.442;65.378;62.890;59.635;56.602;53.996;51.814;50.135;50.202;48.560;46.758;45.098;43.759;42.107;40.387;38.633;36.835;35.037;33.153;31.159;29.111;27.067;24.984;22.888;20.837;18.815;16.842;14.947;13.126;11.406;10.503;8.391;7.250;6.192;5.221;4.363;3.596;2.908;2.289;1.758;1.318;982;728;546;418;330;265;224;191;160;126;217;5.855.335;4.687.175;10.542.510
1964;Total;369.530;351.838;340.158;329.833;319.465;309.164;298.989;288.981;279.157;269.709;260.638;251.906;243.518;235.178;230.385;223.243;216.183;209.192;202.162;195.235;188.338;181.477;174.807;168.393;162.808;157.572;152.864;148.797;145.404;141.303;137.844;134.139;129.816;125.111;120.689;116.412;112.026;107.471;102.797;98.271;93.811;89.833;86.657;83.885;81.166;78.575;76.403;74.212;71.943;69.864;68.143;66.031;63.112;60.224;57.582;55.309;53.437;53.111;51.034;48.628;46.633;44.904;42.949;40.949;38.920;36.875;34.769;32.622;30.426;28.230;26.044;23.842;21.629;19.427;17.289;15.249;13.342;11.586;9.962;9.027;7.208;6.146;5.174;4.293;3.523;2.854;2.264;1.747;1.316;966;704;509;374;278;214;171;143;122;109;85;166;361.106;345.289;334.778;325.225;315.671;306.016;296.287;286.485;276.692;267.181;258.005;249.046;240.337;231.939;222.185;213.882;205.792;197.610;189.799;182.100;174.452;166.973;159.600;152.883;146.719;141.080;136.055;131.495;127.544;124.665;122.301;119.579;116.061;111.989;108.098;104.297;100.300;96.071;91.731;87.403;83.081;79.192;75.916;73.016;70.097;67.170;64.856;62.500;60.135;58.037;56.376;54.244;51.118;48.044;45.278;43.074;41.413;41.605;40.303;39.089;37.600;36.476;34.933;33.308;31.650;30.013;28.415;26.815;25.226;23.626;22.030;20.462;18.915;17.387;15.890;14.402;12.921;11.441;9.987;9.327;7.385;6.439;5.557;4.742;4.014;3.356;2.752;2.196;1.709;1.307;989;752;574;450;361;297;251;216;189;146;296;730.636;697.127;674.936;655.058;635.136;615.180;595.276;575.466;555.849;536.890;518.643;500.952;483.855;467.117;452.570;437.125;421.975;406.802;391.961;377.335;362.790;348.450;334.407;321.276;309.527;298.652;288.919;280.292;272.948;265.968;260.145;253.718;245.877;237.100;228.787;220.709;212.326;203.542;194.528;185.674;176.892;169.025;162.573;156.901;151.263;145.745;141.259;136.712;132.078;127.901;124.519;120.275;114.230;108.268;102.860;98.383;94.850;94.716;91.337;87.717;84.233;81.380;77.882;74.257;70.570;66.888;63.184;59.437;55.652;51.856;48.074;44.304;40.544;36.814;33.179;29.651;26.263;23.027;19.949;18.354;14.593;12.585;10.731;9.035;7.537;6.210;5.016;3.943;3.025;2.273;1.693;1.261;948;728;575;468;394;338;298;231;462;10.196.803;9.484.067;19.680.870
1965;Cabecera;150.484;145.103;141.751;138.276;134.938;131.289;127.444;123.638;119.802;116.115;112.701;109.542;106.613;103.783;101.091;100.061;98.104;96.279;94.606;92.894;91.055;89.108;86.902;84.441;81.786;79.459;77.142;74.915;72.788;70.909;68.540;66.457;64.205;61.816;59.315;56.940;54.696;52.305;49.693;46.948;44.286;41.646;39.343;37.605;36.142;34.710;33.349;32.214;31.171;30.127;29.345;28.705;27.820;26.517;25.145;23.907;22.814;21.890;21.579;20.567;19.401;18.419;17.550;16.588;15.638;14.698;13.741;12.789;11.867;10.963;10.071;9.209;8.350;7.482;6.637;5.828;5.078;4.385;3.751;3.176;2.848;2.214;1.859;1.537;1.250;1.008;799;623;470;349;252;182;128;94;69;53;42;35;35;28;75;165.638;160.487;157.107;153.745;150.184;146.377;142.349;138.229;133.949;129.768;125.442;121.901;118.570;115.576;112.985;109.975;107.854;105.943;104.032;102.187;99.948;97.434;94.535;91.186;87.861;84.706;81.679;78.868;76.185;73.809;71.941;70.263;68.429;66.302;63.969;61.717;59.543;57.156;54.501;51.731;48.979;46.248;43.842;41.882;40.200;38.510;36.836;35.528;34.280;33.066;32.091;31.353;30.282;28.549;26.779;25.194;23.904;22.925;22.987;22.244;21.536;20.660;19.973;19.040;18.036;17.035;16.035;15.054;14.113;13.214;12.301;11.410;10.543;9.666;8.811;7.984;7.159;6.362;5.566;4.799;4.453;3.447;2.964;2.524;2.122;1.773;1.459;1.177;926;710;536;400;301;228;176;142;115;97;84;75;188;316.122;305.590;298.858;292.021;285.122;277.666;269.793;261.867;253.751;245.883;238.143;231.443;225.183;219.359;214.076;210.036;205.958;202.222;198.638;195.081;191.003;186.542;181.437;175.627;169.647;164.165;158.821;153.783;148.973;144.718;140.481;136.720;132.634;128.118;123.284;118.657;114.239;109.461;104.194;98.679;93.265;87.894;83.185;79.487;76.342;73.220;70.185;67.742;65.451;63.193;61.436;60.058;58.102;55.066;51.924;49.101;46.718;44.815;44.566;42.811;40.937;39.079;37.523;35.628;33.674;31.733;29.776;27.843;25.980;24.177;22.372;20.619;18.893;17.148;15.448;13.812;12.237;10.747;9.317;7.975;7.301;5.661;4.823;4.061;3.372;2.781;2.258;1.800;1.396;1.059;788;582;429;322;245;195;157;132;119;103;263;4.572.387;5.042.934;9.615.321
1965;Centros Poblados y Rural Disperso;222.471;212.063;205.355;198.663;192.433;186.159;180.013;173.860;167.860;161.845;155.896;150.022;144.228;138.655;132.959;129.157;123.866;118.525;113.083;107.628;102.421;97.367;92.622;88.351;84.560;81.276;78.344;75.852;73.937;72.491;70.840;69.535;68.162;66.315;64.202;62.241;60.288;58.371;56.499;54.641;52.842;51.078;49.454;48.047;46.755;45.475;44.245;43.195;42.036;40.799;39.484;38.383;37.142;35.525;34.010;32.600;31.402;30.437;30.367;29.319;28.067;27.060;26.204;25.200;24.145;23.049;21.948;20.762;19.506;18.204;16.897;15.571;14.235;12.906;11.570;10.273;9.024;7.864;6.796;5.801;5.257;4.135;3.496;2.918;2.401;1.950;1.566;1.230;940;700;508;366;262;191;140;107;85;71;55;52;96;198.787;189.964;183.967;178.477;173.212;167.859;162.473;157.013;151.602;146.063;140.913;135.286;129.653;123.927;118.084;111.336;105.136;98.929;92.624;86.627;81.134;75.966;71.354;67.313;63.915;60.905;58.292;56.077;54.224;52.692;51.722;51.070;50.215;48.856;47.148;45.539;43.942;42.366;40.817;39.264;37.705;36.137;34.667;33.362;32.154;30.931;29.688;28.682;27.579;26.426;25.300;24.370;23.306;21.924;20.633;19.460;18.542;17.859;17.956;17.430;16.951;16.343;15.925;15.313;14.693;14.039;13.403;12.743;12.038;11.330;10.621;9.895;9.173;8.483;7.790;7.105;6.436;5.749;5.079;4.411;4.132;3.217;2.794;2.395;2.031;1.707;1.415;1.152;910;700;531;397;296;224;175;137;112;93;79;66;126;421.258;402.027;389.322;377.140;365.645;354.018;342.486;330.873;319.462;307.908;296.809;285.308;273.881;262.582;251.043;240.493;229.002;217.454;205.707;194.255;183.555;173.333;163.976;155.664;148.475;142.181;136.636;131.929;128.161;125.183;122.562;120.605;118.377;115.171;111.350;107.780;104.230;100.737;97.316;93.905;90.547;87.215;84.121;81.409;78.909;76.406;73.933;71.877;69.615;67.225;64.784;62.753;60.448;57.449;54.643;52.060;49.944;48.296;48.323;46.749;45.018;43.403;42.129;40.513;38.838;37.088;35.351;33.505;31.544;29.534;27.518;25.466;23.408;21.389;19.360;17.378;15.460;13.613;11.875;10.212;9.389;7.352;6.290;5.313;4.432;3.657;2.981;2.382;1.850;1.400;1.039;763;558;415;315;244;197;164;134;118;222;5.867.259;4.719.063;10.586.322
1965;Total;372.955;357.166;347.106;336.939;327.371;317.448;307.457;297.498;287.662;277.960;268.597;259.564;250.841;242.438;234.050;229.218;221.970;214.804;207.689;200.522;193.476;186.475;179.524;172.792;166.346;160.735;155.486;150.767;146.725;143.400;139.380;135.992;132.367;128.131;123.517;119.181;114.984;110.676;106.192;101.589;97.128;92.724;88.797;85.652;82.897;80.185;77.594;75.409;73.207;70.926;68.829;67.088;64.962;62.042;59.155;56.507;54.216;52.327;51.946;49.886;47.468;45.479;43.754;41.788;39.783;37.747;35.689;33.551;31.373;29.167;26.968;24.780;22.585;20.388;18.207;16.101;14.102;12.249;10.547;8.977;8.105;6.349;5.355;4.455;3.651;2.958;2.365;1.853;1.410;1.049;760;548;390;285;209;160;127;106;90;80;171;364.425;350.451;341.074;332.222;323.396;314.236;304.822;295.242;285.551;275.831;266.355;257.187;248.223;239.503;231.069;221.311;212.990;204.872;196.656;188.814;181.082;173.400;165.889;158.499;151.776;145.611;139.971;134.945;130.409;126.501;123.663;121.333;118.644;115.158;111.117;107.256;103.485;99.522;95.318;90.995;86.684;82.385;78.509;75.244;72.354;69.441;66.524;64.210;61.859;59.492;57.391;55.723;53.588;50.473;47.412;44.654;42.446;40.784;40.943;39.674;38.487;37.003;35.898;34.353;32.729;31.074;29.438;27.797;26.151;24.544;22.922;21.305;19.716;18.149;16.601;15.089;13.595;12.111;10.645;9.210;8.585;6.664;5.758;4.919;4.153;3.480;2.874;2.329;1.836;1.410;1.067;797;597;452;351;279;227;190;163;141;314;737.380;707.617;688.180;669.161;650.767;631.684;612.279;592.740;573.213;553.791;534.952;516.751;499.064;481.941;465.119;450.529;434.960;419.676;404.345;389.336;374.558;359.875;345.413;331.291;318.122;306.346;295.457;285.712;277.134;269.901;263.043;257.325;251.011;243.289;234.634;226.437;218.469;210.198;201.510;192.584;183.812;175.109;167.306;160.896;155.251;149.626;144.118;139.619;135.066;130.418;126.220;122.811;118.550;112.515;106.567;101.161;96.662;93.111;92.889;89.560;85.955;82.482;79.652;76.141;72.512;68.821;65.127;61.348;57.524;53.711;49.890;46.085;42.301;38.537;34.808;31.190;27.697;24.360;21.192;18.187;16.690;13.013;11.113;9.374;7.804;6.438;5.239;4.182;3.246;2.459;1.827;1.345;987;737;560;439;354;296;253;221;485;10.439.646;9.761.997;20.201.643
1966;Cabecera;156.003;151.235;148.374;145.581;142.119;138.694;134.892;131.053;127.118;123.315;119.689;116.315;113.168;110.109;107.313;104.638;103.691;101.729;99.930;98.131;96.128;94.057;91.722;89.055;86.169;83.346;80.777;78.217;75.703;73.454;71.417;69.004;66.855;64.749;62.412;59.879;57.544;55.179;52.612;49.875;47.097;44.373;41.803;39.675;38.002;36.511;35.057;33.708;32.634;31.589;30.694;29.871;29.121;28.123;26.694;25.312;24.028;22.896;21.921;21.573;20.529;19.328;18.321;17.428;16.463;15.505;14.522;13.556;12.607;11.680;10.756;9.859;8.976;8.083;7.210;6.356;5.555;4.804;4.114;3.492;2.920;2.607;1.990;1.648;1.345;1.083;860;676;517;388;284;204;143;101;74;54;41;32;32;25;78;170.649;166.217;163.412;160.533;157.211;153.662;149.772;145.706;141.426;137.194;132.667;128.901;125.397;122.215;119.414;117.005;114.127;112.076;110.184;108.104;105.760;103.167;100.108;96.622;92.844;89.302;85.908;82.681;79.671;76.903;74.395;72.410;70.776;69.093;67.057;64.675;62.423;60.120;57.568;54.819;52.010;49.226;46.535;44.193;42.270;40.562;38.861;37.191;35.938;34.708;33.560;32.558;31.728;30.526;28.696;26.911;25.283;23.972;22.989;23.030;22.277;21.564;20.648;19.955;18.973;17.973;16.944;15.921;14.937;13.989;13.056;12.131;11.220;10.303;9.409;8.537;7.680;6.858;6.039;5.249;4.476;4.152;3.141;2.677;2.256;1.879;1.551;1.260;1.006;783;593;443;327;243;181;142;111;92;77;68;199;326.652;317.452;311.786;306.114;299.330;292.356;284.664;276.759;268.544;260.509;252.356;245.216;238.565;232.324;226.727;221.643;217.818;213.805;210.114;206.235;201.888;197.224;191.830;185.677;179.013;172.648;166.685;160.898;155.374;150.357;145.812;141.414;137.631;133.842;129.469;124.554;119.967;115.299;110.180;104.694;99.107;93.599;88.338;83.868;80.272;77.073;73.918;70.899;68.572;66.297;64.254;62.429;60.849;58.649;55.390;52.223;49.311;46.868;44.910;44.603;42.806;40.892;38.969;37.383;35.436;33.478;31.466;29.477;27.544;25.669;23.812;21.990;20.196;18.386;16.619;14.893;13.235;11.662;10.153;8.741;7.396;6.759;5.131;4.325;3.601;2.962;2.411;1.936;1.523;1.171;877;647;470;344;255;196;152;124;109;93;277;4.816.179;5.302.241;10.118.420
